group,TF,repeat,annealing_status,R,R_squared,RMSE,N,file
baseline,CREB1 self,1,valid,0.6433987275427022,0.41396192260356834,0.347467830076024,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble1_rate_invert.txt
baseline,CREB1 self,2,valid,0.6381373486637785,0.4072192757596368,0.34605444375369393,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble2_rate_invert.txt
baseline,CREB1 self,3,valid,0.642872388343569,0.41328490769456455,0.3482660887505963,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble3_rate_invert.txt
baseline,CREB1 self,4,valid,0.643171768675875,0.41366992402165326,0.3436809654681469,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble4_rate_invert.txt
baseline,CREB1 self,5,valid,0.6434769200839456,0.41406254668072057,0.343473599484638,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\1TF\CRE_1TF_self8_singlehit_fullanneal_CREB1_scramble5_rate_invert.txt
non-family,DLX2,1,valid,0.5910438942127918,0.34933288488622183,0.4298319500731909,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble1_rate_invert.txt
non-family,DLX2,2,valid,0.6443859815780234,0.4152332932542727,0.34525217380035644,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble2_rate_invert.txt
non-family,DLX2,3,valid,0.6410661736489333,0.41096583899688427,0.344599169618297,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble3_rate_invert.txt
non-family,DLX2,4,valid,0.6441089435008485,0.4148763310977792,0.3461188912938548,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble4_rate_invert.txt
non-family,DLX2,5,valid,0.644304576105347,0.41512838679029085,0.34552997887360126,260,C:\Users\User\Documents\Codex\2026-06-03\https-github-com-kennethabarr-transcpp-https\work\transcpp-master\CRE_enalizing\singlehit\selfcompetition-on\2TF_Figure3A\2TF_CREB_picture_paper_source_priority_TF\CRE_2TF_selfon2_singlehit_fullanneal_papersource_01_CREB1_DLX2_scramble5_rate_invert.txt
