after_initial_score,annealer_seed,fig4j_multihit_r,fig5_at_r,final_score,id,initial_score,kind,log,runtime_seconds,singlehit_r,singlehit_r_against_true_labels,total_steps,xml
168900.0,,0.7382782764518064,0.8705523522356527,55690.0,1,1705000.0,seed,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_seed1.log,13808.99,0.8325672229882886,,945500.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_seed1.xml
389000.0,,0.7637525423973994,0.8688700470343348,53830.0,0,1705000.0,seed,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_seed0.log,16045.83,0.834419043818683,,2028500.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_seed0.xml
178900.0,,0.7101579403530873,0.8762062731243105,57700.0,4,1705000.0,seed,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_seed4.log,29238.84,0.814732852408479,,1409500.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_seed4.xml
721700.0,1003,,,139800.0,3,1046000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble3.log,3722.05,,0.21344036210189515,203600.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble3.xml
500200.0,,0.7529965733557734,0.8634380076406957,57280.0,3,1705000.0,seed,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_seed3.log,43603.91,0.8267884197560258,,2086300.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_seed3.xml
225400.0,,0.7421198880366854,0.8651571524190101,54700.0,2,1705000.0,seed,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_seed2.log,48911.27,0.8322803098965799,,2235300.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_seed2.xml
228700.0,1004,,,132400.0,4,1826000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble4.log,17431.48,,-0.03631211165241364,914400.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble4.xml
165000.0,1002,,,136800.0,2,3441000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble2.log,35031.43,,-0.27706391011719006,1476500.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble2.xml
454300.0,1000,,,130100.0,0,3441000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble0.log,68352.27,,-0.5828349936572929,1325000.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble0.xml
297700.0,1005,,,128000.0,5,3441000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble5.log,30907.88,,-0.2809230799479235,1355300.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble5.xml
456100.0,1008,,,139500.0,8,3441000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble8.log,24937.72,,-0.012792532231291972,1573500.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble8.xml
497100.0,1007,,,127300.0,7,3441000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble7.log,26001.24,,0.040468253812328825,1514000.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble7.xml
219000.0,1006,,,132500.0,6,3441000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble6.log,32822.3,,-0.15046115317111664,1752700.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble6.xml
338400.0,1009,,,148700.0,9,3441000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble9.log,14701.21,,0.2798160745920229,1854900.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble9.xml
324200.0,1001,,,133600.0,1,2820000.0,scramble,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/logs/4tf_scramble1.log,75290.19,,-0.12773119556765616,1561400.0,/Users/jisoochoi/Documents/Codex/2026-06-04/files-mentioned-by-the-user-pptx/work/kang24/fig45_competition_off_repeats/kang24_4tf_scramble1.xml
