gene,tf,region,site_index,seq_start,seq_end,score,occupancy,coef,activation_contribution
synCRE_Promega_0,ATF7,CRE1,0,25,38,11.582282,0.2002335571837545,3.446983273838701e-06,6.902017224736268e-07
synCRE_Promega_0,ATF7,CRE1,1,25,38,11.856422,0.2115197627356644,3.446983273838701e-06,7.291050842361658e-07
synCRE_Promega_0,CREB1,CRE1,13,23,31,-0.3144929999999994,0.0063733917242349,4.687018320741679,0.029872203776752374
synCRE_Promega_0,CREB1,CRE1,14,25,33,-1.195631,0.0050335955647741,4.687018320741679,0.023592554631300264
synCRE_Promega_0,CREB1,CRE1,15,27,35,9.98721,0.1145532230395474,4.687018320741679,0.5369130550863664
synCRE_Promega_0,CREB1,CRE1,16,28,36,8.906303999999999,0.0827117127948575,4.687018320741679,0.38767131320942105
synCRE_Promega_0,CREB1,CRE1,17,30,38,-2.016086999999999,0.0039369069967236,4.687018320741679,0.01845235522069961
synCRE_Promega_0,CREB1,CRE1,18,35,43,0.8070129999999998,0.0119892063614946,4.687018320741679,0.056193629867477876
synCRE_Promega_0,CREB1,CRE1,19,37,45,-1.229867,0.0080884723495904,4.687018320741679,0.03791081808934269
synCRE_Promega_0,CREB1,CRE4,43,83,91,-1.887222,0.006424830352464,4.687018320741679,0.030113297569655986
synCRE_Promega_0,CREB1,CRE4,44,85,93,8.287079,0.1093854396331786,4.687018320741679,0.512691559583091
synCRE_Promega_0,CREB1,CRE4,45,86,94,8.287079,0.1093854396331786,4.687018320741679,0.512691559583091
synCRE_Promega_0,CREB1,CRE4,46,88,96,-1.887222,0.0088317171546986,4.687018320741679,0.041394420107680914
synCRE_Promega_0,CREB1,CRE4,47,92,100,-2.599271,0.0073084356306012,4.687018320741679,0.03425477169658909
synCRE_Promega_0,CREM,CRE1,0,26,35,11.981383,0.0159457640465102,19.91954063659259,0.317632294905977
synCRE_Promega_0,CREM,CRE1,1,28,37,11.501112,0.0143170984589065,19.91954063659259,0.2851900245502852
synCRE_Promega_0,CREM,CRE4,6,84,93,10.93871,0.0198278098439274,19.91954063659259,0.39496086392074237
synCRE_Promega_0,CREM,CRE4,7,86,95,10.93871,0.0201012565760758,19.91954063659259,0.4004077972137159
scanmut_single_pos_14_A,CREB1,CRE1,13,23,31,-2.014624,0.0095120577588373,4.687018320741679,0.044583188983623456
scanmut_single_pos_14_A,CREB1,CRE1,14,25,33,-2.637395,0.0080724305628706,4.687018320741679,0.03783562994108956
scanmut_single_pos_14_A,CREB1,CRE1,15,27,35,5.323435,0.0749501013267097,4.687018320741679,0.3512924980597336
scanmut_single_pos_14_A,CREB1,CRE1,16,28,36,5.290374999999999,0.0724365829082565,4.687018320741679,0.33951159118292173
scanmut_single_pos_14_A,CREB1,CRE1,17,35,43,0.8070129999999998,0.0227316965810389,4.687018320741679,0.1065438783368703
scanmut_single_pos_14_A,CREB1,CRE1,18,37,45,-1.229867,0.0138115037444916,4.687018320741679,0.06473477108742443
scanmut_single_pos_14_A,CREB1,CRE4,42,83,91,-1.887222,0.0064248303505527,4.687018320741679,0.030113297560697687
scanmut_single_pos_14_A,CREB1,CRE4,43,85,93,8.287079,0.1093854396035634,4.687018320741679,0.512691559444284
scanmut_single_pos_14_A,CREB1,CRE4,44,86,94,8.287079,0.1093854396035634,4.687018320741679,0.512691559444284
scanmut_single_pos_14_A,CREB1,CRE4,45,88,96,-1.887222,0.0088317171555697,4.687018320741679,0.04139442011176377
scanmut_single_pos_14_A,CREB1,CRE4,46,92,100,-2.599271,0.0073084356312966,4.687018320741679,0.03425477169984844
scanmut_single_pos_14_A,CREM,CRE1,0,26,35,0.8115279999999996,0.0040898892755949,19.91954063659259,0.08146871562437685
