name,index,index_f,index_r,start,end,score,K,K*kmax,strand,source,site_id,occupancy,tf,seq_start,seq_end,center,gene,coef,activation_contribution
ATF1,0,16,8,-116,-107,3.268605,0.5483823492622402,0.2820398032626417,+,Kang24_Table_S2,ATF10,0.1870361425535503,ATF1,78,87,82.5,synCRE_Promega_0,0.6455474551623649,0.1207407058488297
ATF1,1,23,1,-28,-19,3.787173,0.6084396305408276,0.3129280034738447,-,Kang24_Table_S2,ATF11,0.238276619385123,ATF1,166,175,170.5,synCRE_Promega_0,0.6455474551623649,0.15381886526875757
ATF7,0,5,22,-169,-156,11.582282,0.1540573818302657,0.6161410638373344,+,Kang24_Table_S2,ATF70,0.2415435151909202,ATF7,25,38,31.5,synCRE_Promega_0,0.0001841640305501424,4.448362731080941e-05
ATF7,1,6,23,-169,-156,11.856422,0.1627401741118484,0.6508672470938253,-,Kang24_Table_S2,ATF71,0.2551570930957867,ATF7,25,38,31.5,synCRE_Promega_0,0.0001841640305501424,4.699075868797799e-05
ATF7,2,14,13,-133,-120,6.130579000000001,0.0517771786378225,0.207078982839992,+,Kang24_Table_S2,ATF72,0.1236783555375226,ATF7,61,74,67.5,synCRE_Promega_0,0.0001841640305501424,2.2777104447603685e-05
ATF7,3,15,14,-133,-120,7.580661000000001,0.0691982248641182,0.2767531641580631,-,Kang24_Table_S2,ATF73,0.1652914060299553,ATF7,61,74,67.5,synCRE_Promega_0,0.0001841640305501424,3.0440731549776678e-05
CREB1,0,0,24,-188,-180,3.867458,0.2567215162548481,0.0334342061793283,-,Kang24_Table_S2,CREB10,0.0323525251819723,CREB1,6,14,10.0,synCRE_Promega_0,8.806597020412472,0.2849156518703767
CREB1,1,1,20,-167,-159,9.98721,0.9271695530038304,0.1207502138915102,+,Kang24_Table_S2,CREB11,0.0473372622525139,CREB1,27,35,31.0,synCRE_Promega_0,8.806597020412472,0.4168801927074727
CREB1,2,3,18,-166,-158,8.906303999999999,0.7390188401779918,0.096246347533998,-,Kang24_Table_S2,CREB12,0.0377311016455582,CREB1,28,36,32.0,synCRE_Promega_0,8.806597020412472,0.33228260732865295
CREB1,3,8,15,-143,-135,6.817365999999999,0.476748419049713,0.062089478009913,-,Kang24_Table_S2,CREB13,0.0581818144525725,CREB1,51,59,55.0,synCRE_Promega_0,8.806597020412472,0.5123837938002163
CREB1,4,10,11,-131,-123,9.843071,0.8995466339480824,0.1171527344731199,+,Kang24_Table_S2,CREB14,0.0699697156497779,CREB1,63,71,67.0,synCRE_Promega_0,8.806597020412472,0.616195089360442
CREB1,5,12,9,-130,-122,4.381909,0.2859858304734469,0.0372454532051132,-,Kang24_Table_S2,CREB15,0.0222449248131449,CREB1,64,72,68.0,synCRE_Promega_0,8.806597020412472,0.19590208857874133
CREB1,6,17,6,-109,-101,8.287079,0.648970778544147,0.0845189103380985,+,Kang24_Table_S2,CREB16,0.0560491490193903,CREB1,85,93,89.0,synCRE_Promega_0,8.806597020412472,0.49360226875081725
CREB1,7,19,4,-108,-100,8.287079,0.648970778544147,0.0845189103380985,-,Kang24_Table_S2,CREB17,0.0560491490193903,CREB1,86,94,90.0,synCRE_Promega_0,8.806597020412472,0.49360226875081725
CREM,0,2,21,-168,-159,11.981383,0.4855050171428503,0.0350262755234015,+,Kang24_Table_S2,CREM0,0.0137312219725736,CREM,26,35,30.5,synCRE_Promega_0,19.90891484377025,0.27337372895287476
CREM,1,4,19,-166,-157,11.501112,0.4410342297933091,0.031817974897356,-,Kang24_Table_S2,CREM1,0.0124734836777456,CREM,28,37,32.5,synCRE_Promega_0,19.90891484377025,0.24833352434539532
CREM,2,7,17,-145,-136,-11.401,0.0045180635467668,0.000325951191097,+,Kang24_Table_S2,CREM2,0.0003054371260453,CREM,49,58,53.5,synCRE_Promega_0,19.90891484377025,0.006080921732561798
CREM,3,9,16,-143,-134,1.990370999999999,0.0658064743199248,0.0047475424956837,-,Kang24_Table_S2,CREM3,0.0044487511482295,CREM,51,60,55.5,synCRE_Promega_0,19.90891484377025,0.08856980777122624
